,T Crawl [F],Crawl Water Content [lb],Crawl Dry Bulb F,Crawl DP F,DB C,DP C,RH_crawl [%],Incoming Water [lb/hr],Outgoing Water [lb/hr],Condensation per SF [lb],Step
108,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.4529406999544549,0.04306894312405654,9.601425533846397e-05,108
109,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.4741915898825132,0.00819111725138427,9.337644350250087e-05,109
110,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.487426131230119,0.00819111725138427,9.593829819619307e-05,110
111,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.4864873290470187,0.008343496630645559,9.578606768828172e-05,111
112,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.49813719621611036,0.008491159505310587,9.806975526934941e-05,112
113,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.49910434246693264,0.008638459571929765,9.828548239234544e-05,113
114,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.48551044964954704,0.008638459571929765,9.565406682568525e-05,114
115,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.49716088737009,0.04356308768251803,0.00010466975901134276,115
116,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.5261769576830299,0.04356308768251803,0.00011028649736073019,116
117,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.5411137978143603,0.008638459571929765,0.00010641739399657441,117
118,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.5008466257659677,0.008491159505310587,9.859422866265192e-05,118
119,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.5022536142269803,0.008343496630645559,9.883800055316478e-05,119
120,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.5014830051793231,0.008343496630645559,9.868883116724393e-05,120
121,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.49490036699400425,-0.03261644332282608,8.94858543691799e-05,121
122,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.5480783542403708,0.008343496630645559,0.000107708449645956,122
123,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.5339630121580101,0.008343496630645559,0.00010497609539075577,123
124,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.5473988238214451,0.008491159505310587,0.00010760549425604805,124
125,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.5467194251203874,0.008638459571929765,0.00010750249413324664,125
126,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.5713161629026704,0.008638459571929765,0.00011226376741668614,126
127,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.5467194251203874,0.008638459571929765,0.00010750249413324664,127
128,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.5453559540138436,0.00893850182585608,0.00010729664263253582,128
129,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.517422109450745,-0.03207295687012755,9.395066832764715e-05,129
130,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.48841713040693857,-0.03207295687012755,8.833607695253656e-05,130
131,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.49029357919620714,-0.08161620957255811,7.91090533533935e-05,131
132,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.47703351881155676,-0.14359434523879894,6.454494261957725e-05,132
133,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.5078451260575348,-0.35505193545573605,2.9576691947690517e-05,133
134,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.5150985437010243,-0.35505193545573605,3.0980760403654104e-05,134
135,50.9,4.530942982296037,50.9,50.875578505106056,10.5,10.486432502836697,99.9094963153348,0.7135120162359477,-0.9629674735742658,0.0,135
136,50.9,4.5264224041589785,50.9,50.849002067235965,10.5,10.471667815131092,99.81108860718489,0.6908499769556646,-0.9620846651791621,0.0,136
137,50.9,4.521926384160085,50.9,50.82254643048749,10.5,10.456970239159718,99.71321301071691,0.6902822009974562,-0.960043400931108,0.0,137
138,50.9,4.517437704559242,50.9,50.796110488051056,10.5,10.44228360447281,99.61549473266362,0.6908493360582008,-0.9601701121087355,0.0,138
139,50.9,4.510146235165348,50.9,50.75311743919832,10.5,10.4183985773324,99.45675461670879,0.6919605993541708,-1.129448762987856,0.0,139
140,50.9,4.5028056027574745,50.9,50.7097716156395,10.5,10.394317564244165,99.29693759031423,0.6884105256558237,-1.128848470128222,0.0,140
141,50.9,4.497985040143126,50.9,50.681272174417565,10.5,10.378484541343092,99.19198281522807,0.6679485591577284,-0.957182316018598,0.0,141
142,50.9,4.493176309136572,50.9,50.65281543061463,10.5,10.36267523923035,99.08728279635504,0.668704750438307,-0.9572286108315695,0.0,142
143,50.9,4.488384634118645,50.9,50.62443249111253,10.5,10.346906939506962,98.98295130909833,0.668704750438307,-0.9562052515139672,0.0,143
144,50.9,4.48373620886821,50.9,50.59687214561373,10.5,10.331595636452073,98.88173617266666,0.6762800069023239,-0.955185521928379,0.0,144
145,50.9,4.478854766255998,50.9,50.567902704914424,10.5,10.315501502730235,98.77544444116147,0.661309720988435,-0.9541962777211803,0.0,145
146,50.9,4.471283103761122,50.9,50.52291190519285,10.5,10.290506613996028,98.6105683036466,0.666716751145796,-1.121016500838408,0.0,146
147,50.9,4.4637352004263215,50.9,50.47799435903628,10.5,10.265552421686824,98.44620251807233,0.6674594369565673,-1.1203336370445942,0.0,147
148,50.9,4.456226609422057,50.9,50.43324325780913,10.5,10.240690698782851,98.28268586299383,0.666716751145796,-1.1172322114016806,0.0,148
149,50.9,4.448924547869114,50.9,50.38965829113502,10.5,10.216476828408345,98.12366020914448,0.6772291863751329,-1.115352879551663,0.0,149
150,50.9,4.441660487558144,50.9,50.34623657318689,10.5,10.192353651770496,97.96545564924348,0.6764755002409049,-1.1123191188991373,0.0,150
151,50.9,4.434902432161485,50.9,50.30578244518351,10.5,10.169879136213062,97.81826558604695,0.7050196363678378,-1.1105029601673377,0.0,151
152,50.9,4.430128515980646,50.9,50.27717222748261,10.5,10.153984570823672,97.71428657791469,0.6552567781343153,-0.9416917489847056,0.0,152
153,50.9,4.425462826695965,50.9,50.24918394176023,10.5,10.138435523200128,97.61266211443147,0.6617916527985332,-0.9417330098793484,0.0,153
154,50.9,4.418154843965129,50.9,50.20529208404086,10.5,10.11405115780048,97.45347986283474,0.6703738529324934,-1.1088528167825944,0.0,154
155,50.9,4.413757391294316,50.9,50.17884959158346,10.5,10.099360884213032,97.35769152115546,0.6753405505166373,-0.9391877107653824,0.0,155
156,50.9,4.409309863799683,50.9,50.152081998606505,10.5,10.084489999225836,97.2608099963151,0.6714012741337363,-0.9382529238117878,0.0,156
157,50.9,4.404882926305542,50.9,50.125414319599564,10.5,10.069674621999757,97.16437457244893,0.6706412624324734,-0.9362575120808985,0.0,157
158,50.9,4.40058972650239,50.9,50.099529350060656,10.5,10.055294083367032,97.070850158608,0.6777255233899957,-0.9353175115791353,0.0,158
159,50.9,4.396750716972884,50.9,50.07636367958072,10.5,10.042424266433736,96.98721804856231,0.7030140182148512,-0.9333545899852489,0.0,159
160,50.9,4.393160168017228,50.9,50.05468090150305,10.5,10.030378278612805,96.90899696547388,0.7171074078768873,-0.9325403452162394,0.0,160
161,50.9,4.389582311509465,50.9,50.03305898924528,10.5,10.01836610513627,96.83105081349042,0.7171074078768873,-0.9317787983426135,0.0,161
162,50.9,4.38599673192746,50.9,50.01137457501735,10.5,10.006319208342973,96.75293482916196,0.7148399212466127,-0.9299746961669102,0.0,162
163,50.9,4.3824441978816475,50.9,49.98987436467587,10.5,9.99437464704215,96.67553722030274,0.7171074078768873,-0.9302594506256054,0.0,163
164,50.9,4.378900373206203,50.9,49.96841131113526,10.5,9.98245072840848,96.59832781218908,0.7179234695456913,-0.9305529500723804,0.0,164
165,50.9,4.381667743370669,50.9,49.985173123495336,10.5,9.991762846386298,96.65862071614208,0.508421073496334,-0.34237886362836606,0.0,165
166,50.9,4.3860787395084,50.9,50.01187070733466,10.5,10.006594837408144,96.75472147651465,0.4838399026561797,-0.2191801343923071,0.0,166
167,50.9,4.3887834311309035,50.9,50.028228994506776,10.5,10.015682774725986,96.81364642048479,0.5056665492074425,-0.34338505185721513,0.0,167
168,50.9,4.393192790529092,50.9,50.054877975266486,10.5,10.030487764036938,96.90970766288319,0.4844308362240306,-0.219869272332796,0.0,168
169,50.9,4.397601143505317,50.9,50.081496954538736,10.5,10.045276085854853,97.00574458902364,0.4845913509934159,-0.22009017241992643,0.0,169
170,50.9,4.402007416585176,50.9,50.10807952071019,10.5,10.06004417817233,97.10173381563246,0.48501775467679353,-0.22064136988522948,0.0,170
171,50.9,4.406309349121927,50.9,50.13400964687527,10.5,10.074449803819595,97.19544771369196,0.47897839855825153,-0.22086244635321803,0.0,171
172,50.9,4.410485780702767,50.9,50.1591616428791,10.5,10.088423134932833,97.28642550401239,0.47199553704403413,-0.22140964219367032,0.0,172
173,50.9,4.414888216169427,50.9,50.18565164959,10.5,10.103139805327778,97.38232415428294,0.48576562886374974,-0.22161950086420248,0.0,173
174,50.9,4.420714566635898,50.9,50.22067320699911,10.5,10.122596226110616,97.5092364094057,0.4901687283439695,-0.14058770035569917,0.0,174
175,50.9,4.426537824863964,50.9,50.25563492354932,10.5,10.142019401971847,97.63607713687745,0.4901687283439695,-0.14077323465995353,0.0,175
176,50.9,4.432516975628631,50.9,50.29148978257926,10.5,10.16193876809959,97.76630913716599,0.49997153802928346,-0.14122249214933005,0.0,176
177,50.9,4.438447987038723,50.9,50.32701322556653,10.5,10.18167401420363,97.89548827037568,0.49754059341036744,-0.1416799088049194,0.0,177
178,50.9,4.443052200458998,50.9,50.3545606095041,10.5,10.196978116391167,97.99576638001835,0.5006199017197585,-0.224367096503197,0.0,178
179,50.9,4.4476569394677865,50.9,50.38208559544104,10.5,10.212269775245023,98.09605333000613,0.5012183012277124,-0.22493396070043725,0.0,179
180,50.9,4.452163064464829,50.9,50.408996431339965,10.5,10.227220239633315,98.1941900344816,0.49553458004002576,-0.22516708021749615,0.0,180
181,50.9,4.454903740770749,50.9,50.42535198663396,10.5,10.236306659241091,98.25387666979886,0.5166073891004453,-0.35216681074525824,0.0,181
182,50.9,4.457672576052561,50.9,50.441866443788946,10.5,10.245481357660527,98.31417561552807,0.5180607409759183,-0.3519306240672031,0.0,182
183,50.9,4.4604059889710115,50.9,50.45816062427293,10.5,10.254533680151628,98.37370221816498,0.5166073891004453,-0.3526026139933697,0.0,183
184,50.9,4.465000461268255,50.9,50.48552866233641,10.5,10.269738145742448,98.47375576970813,0.5018212696173149,-0.2261529317827247,0.0,184
185,50.9,4.470981957614968,50.9,50.521121085873574,10.5,10.289511714374209,98.6040105738624,0.5024134700298855,-0.14352368922708056,0.0,185
186,50.9,4.4779650518267164,50.9,50.56261955530385,10.5,10.31256641961325,98.75607090037029,0.5011891269776286,-0.08220347427270873,0.0,186
187,50.9,4.4859372026842514,50.9,50.60992494477346,10.5,10.338847191540811,98.92966109694095,0.5114244373199427,-0.03309538586783682,0.0,187
188,50.9,4.493915994776866,50.9,50.65719445979514,10.5,10.365108033219524,99.10338808270505,0.5120627043474374,-0.03333517879063476,0.0,188
189,50.9,4.503332827238412,50.9,50.712886939857164,10.5,10.396048299920647,99.3084163109814,0.5226981107922499,0.042311836900582274,0.0,189
190,50.9,4.514528473671283,50.9,50.778964100015195,10.5,10.432757833341775,99.55215963345782,0.572532165121308,0.09920662085093142,0.0,190
191,50.9,4.526077091296903,50.9,50.84697099943825,10.5,10.47053944413236,99.80357144612192,0.5697953923541816,0.12312166518307471,0.0,191
192,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.5764961743871192,0.13252869984006493,3.23949409234585e-05,192
193,50.9,4.535100573251675,50.9,50.9,10.5,10.5,100.0,0.581575681864104,0.13892863376903772,0.00013947044437342612,193
