,T Crawl [F],HR Crawl [lb/lb],RH_crawl [%]
488,46.64,0.003181685544661991,39.63534145252959
489,46.64,0.0031823068216953005,39.64304151341223
490,46.64,0.00318273465426692,39.64834402926869
491,46.64,0.00318321615182519,39.65431165514166
492,46.64,0.003183464003862628,39.65738350146818
493,46.64,0.0031835016084546934,39.65784956774078
494,46.64,0.0031834685855230767,39.65744028595653
495,46.64,0.0031835657232963965,39.65864419836402
496,46.64,0.0031835199037211384,39.65807631680008
497,46.64,0.003183175155935752,39.653803557117264
498,46.64,0.0031829396722622273,39.650885000065564
499,46.64,0.003182597512322649,39.64664430595597
500,46.64,0.0031822784440458615,39.642689803290295
501,46.64,0.00318219737827264,39.6416850809634
502,46.64,0.0031819605421947684,39.63874975318193
503,46.64,0.0031817745488331066,39.63644456447998
504,46.64,0.0031817853444673716,39.63657836485269
505,46.64,0.00318147519801436,39.63273442851118
506,46.64,0.0031808126060774784,39.62452229142471
507,46.64,0.0031795527378084914,39.60890748813801
508,46.64,0.0031781923506408113,39.59204678327043
509,46.64,0.0031767839153349626,39.57459049011832
510,46.64,0.003174766090721574,39.54958122565676
511,46.64,0.0031728247192468768,39.525519382118205
512,46.64,0.003171119700801842,39.504386833865986
513,46.64,0.0031694623016404926,39.48384438387188
514,46.64,0.003168130195227675,39.46733365979418
515,46.64,0.0031668874168860823,39.4519300444295
516,46.64,0.0031671571183535404,39.45527286430001
517,46.64,0.003167588288093767,39.460616999698196
518,46.64,0.003167561395639178,39.4602836812573
519,46.64,0.0031671385786083404,39.45504307317454
520,46.64,0.003166759763834665,39.45034784529624
521,46.64,0.0031660799626494866,39.441922020583334
522,46.64,0.003166182035378959,39.443187166540866
523,46.64,0.0031663935734036293,39.445809084695654
524,46.64,0.0031664993877130896,39.44712060454461
525,46.64,0.003166699039153905,39.449595191402324
526,46.64,0.0031670389832291752,39.45380863665192
527,46.64,0.0031672979950139375,39.45701896154892
528,46.64,0.003167143465522352,39.45510364409841
529,46.64,0.0031670392982978443,39.4538125417762
530,46.64,0.0031666676704440884,39.44920639092163
531,46.64,0.0031662563858389043,39.44410870707162
532,46.64,0.0031659808541071865,39.440693614008424
533,46.64,0.0031651550593895282,39.430458238347995
534,46.64,0.0031641786485761066,39.418356005101245
535,46.64,0.0031629475327656243,39.40309674833851
536,46.64,0.0031617760511662664,39.38857658129054
537,46.64,0.0031607539857427115,39.375908338981986
538,46.64,0.0031601006372293646,39.367810227773255
539,46.64,0.003159847187736153,39.36466877245919
540,46.64,0.0031593253923094377,39.35820121543926
541,46.64,0.0031589963959215025,39.35412336100549
542,46.64,0.00315903928739997,39.35465499385044
543,46.64,0.003159139377235266,39.35589559066869
544,46.64,0.0031593445254067876,39.358438366804045
545,46.64,0.003159589680867598,39.36147702418774
546,46.64,0.0031600633646119473,39.367348241362954
547,46.64,0.0031604906203637376,39.37264398503714
548,46.64,0.003160505588948736,39.372829517315886
549,46.64,0.0031606382139958925,39.374473374862276
550,46.64,0.0031608681484654633,39.3773233590987
551,46.64,0.003161133066664389,39.380606955919134
552,46.64,0.003161462150681671,39.38468586861888
553,46.64,0.003161944489715723,39.39066433051444
554,46.64,0.003162001138988514,39.391366482326475
555,46.64,0.003162050867462467,39.39198285267748
556,46.64,0.003162235816027725,39.39427523690377
557,46.64,0.003162591914800301,39.39868897486154
558,46.64,0.0031629659535902825,39.403325068563255
559,46.64,0.003163369523359587,39.408327183286005
560,46.64,0.0031636796662920736,39.41217129866699
561,46.64,0.0031642093286485657,39.418736273272756
562,46.64,0.0031649477334794412,39.427888517283385
563,46.64,0.003165998290896784,39.4409097353365
564,46.64,0.0031669874788049705,39.45317026408669
565,46.64,0.0031680006154365882,39.465727586016044
566,46.64,0.0031689062420678085,39.47695234079684
567,46.64,0.0031699654897778184,39.490081104919774
568,46.64,0.0031711292652224503,39.50450537869979
569,46.64,0.0031719422922398665,39.514582311718655
570,46.64,0.0031728480917148044,39.5258090672193
571,46.64,0.00317365074105836,39.535757321280734
572,46.64,0.0031743745790680142,39.54472874434754
573,46.64,0.003175078240485412,39.553450073942415
574,46.64,0.003175719258741679,39.561394973755576
575,46.64,0.00317643810949822,39.5703045247107
576,46.64,0.0031767989602362917,39.57477695860029
577,46.64,0.0031774294148184377,39.58259088738075
578,46.64,0.0031776464471836886,39.58528080858053
579,46.64,0.0031777859634828966,39.587009986790726
580,46.64,0.003177854612374773,39.5878608273673
581,46.64,0.0031777564188013975,39.58664380727782
582,46.64,0.0031777307911701707,39.586326176019945
583,46.64,0.003177612041385737,39.584854379747384
584,46.64,0.0031777630325074135,39.58672577816439
585,46.64,0.0031781487205631786,39.591506028747
586,46.64,0.003178848803099498,39.60018289620367
587,46.64,0.0031796071681787627,39.60958209927351
588,46.64,0.0031806348653533804,39.62231937727345
